parameter_A,module_A,parameter_B,module_B,shared_suffix,stage_relationship_pattern,direction_higher_A_minus_B,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
ANODE_ET_C_AN_2,ANODE,THIN_ET_C_AN_2,THIN,C_AN_2,threshold,n/a,1.2111,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
TFRP_ET_TF_AB_2,TFRP,THIN_ET_TF_AB_2,THIN,TF_AB_2,threshold,n/a,1.693,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
TFRP_ET_Rc_TF_AB_2,TFRP,THIN_ET_Rc_TF_AB_2,THIN,Rc_TF_AB_2,threshold,n/a,1.402,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
FIC_ET_DC_RF_Vg_optt3,FIC,THIN_ET_DC_RF_Vg_optt3,THIN,DC_RF_Vg_optt3,threshold,n/a,0.9281,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
SIN_ET_DC_RF_Vp_01,SIN,TOPSIN_ET_DC_RF_Vp_01,TOPSIN,DC_RF_Vp_01,threshold,n/a,1.3674,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
BRGM_ET_KLV_F_AB_4u,BRGM,THIN_ET_KLV_F_AB_4u,THIN,KLV_F_AB_4u,threshold,n/a,1.6462,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
BRGM_ET_KLV_F_AB_4u,BRGM,TOPSIN_ET_KLV_F_AB_4u,TOPSIN,KLV_F_AB_4u,threshold,n/a,1.6147,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
SIN_ET_DC_RF_Vg_max_Vd_0p1mA,SIN,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,THIN,DC_RF_Vg_max_Vd_0p1mA,threshold,n/a,0.7385,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
SIN_ET_DC_RF_Vg_max_Vd,SIN,THIN_ET_DC_RF_Vg_max_Vd,THIN,DC_RF_Vg_max_Vd,threshold,positive,1.2409,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
FIC_ET_lkg_SY07_10,FIC,SIN_ET_lkg_SY07_10,SIN,lkg_SY07_10,threshold,n/a,1.5106,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,FIC,SIN_ET_DC_RF_Vg_max_Vd_0p1mA,SIN,DC_RF_Vg_max_Vd_0p1mA,threshold,n/a,1.296,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5."
SIN_ET_DC_RF_Vg_max_Vd_0p1,SIN,TOPSIN_ET_DC_RF_Vg_max_Vd_0p1,TOPSIN,DC_RF_Vg_max_Vd_0p1,threshold,n/a,1.4748,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5."
BRGM_ET_i5021_1,BRGM,THIN_ET_i5021_1,THIN,i5021_1,threshold,positive,0.985,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5."
