parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
MEASURE_ET_lkg_Cap1,TOPSIN_ET_Cap3pf,STRONG,0.1745,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_SY07_10,MEASURE_ET_lkg_Cap2,STRONG,0.1512,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,STRONG,0.0168,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Gm_max,THIN_ET_Rc_TF_AB_2,STRONG,0.0491,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_C300,TOPSIN_ET_CapFICM1,STRONG,0.0493,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_Idss,CATHODE_ET_Rcat_cn_3_OW_ST,STRONG,0.0496,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_5,SIN_ET_lkg_SY8_80,STRONG,0.1359,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0119,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_R314,ANODE_ET_Probe_Number,STRONG,0.0207,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_DC_RF_Vg_optt,MEASURE_ET_DC_Stress_Id_max_Ig_after,STRONG,0.0501,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vg_optt,MEASURE_ET_Load_Pull_Pout_W_mm_last,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_lkg_5,FIC_ET_DC_RF_Id_gm_max,STRONG,0.0179,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
