parameter_A,parameter_B,channels,n_channels,source,evidence_tier_A,evidence_tier_B
SIN_ET_DC_RF_Vg_optt3,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_PIV_Gate_Lag_1,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M5_shared_process_family+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_C300FB,TOPSIN_ET_Cap2pf_0,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_3,FIC_ET_DC_PIV_Gate_Lag_1,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Ran_con_1_OW_CR,MEASURE_ET_lkg_C300FB,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M3_tree_path_cooccurrence_medium_only+M4_shared_interaction_neighborhood,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_C_AN_2_OW_CR,TOPSIN_ET_lkg_C300,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Vgs_back_0p5V,TOPSIN_ET_lkg_C300,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_C300,SIN_ET_DC_RF_Vg_optt3,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_lkg_SY07_10,MEASURE_ET_DC_RF_Vp_1_W,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration+M4_shared_interaction_neighborhood+M6_both_nonlinear_evidenced,5,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
