raw_csv_parameter_name,spline_evidence_label,spline_relationship_class,spline_nonlinear_advantage,v2_univariate_evidence_label,v2_univariate_shape,shap_percentile,gain_percentile,permutation_percentile,method_agreement,v3_broadscreen_best_rank,v3_confirmed_strong_count,v3_confirmed_moderate_count,v3_confirmed_best_incremental_r2,v3_tree_path_cooccurrence,cross_stage_best_evidence_label,n_independent_methods_supporting,is_marginal_evidence,is_nonlinear_evidence,is_conditional_evidence,is_interaction_related_evidence,is_cross_stage_evidence,evidence_tier
MaskSetSupplyChipsCount,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,97.61,98.95,98.18,high_agreement,178.0,1,1,0.0728,False,no_evidence,5,True,True,True,True,False,HIGH_EVIDENCE
ANODE_ET_C_AN_2,STRONG,U_SHAPED,True,INCONCLUSIVE,U_shape,25.33,30.39,46.81,moderate_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
ANODE_ET_C_AN_2_OW_CR,INCONCLUSIVE,FLAT,False,WEAK,threshold,24.42,16.0,37.89,moderate_agreement,,0,0,,False,INCONCLUSIVE,0,False,True,False,False,False,UNSUPPORTED
ANODE_ET_Probe_Number,STRONG,THRESHOLD,True,STRONG,threshold,91.72,96.0,95.23,high_agreement,,1,1,0.0568,True,no_evidence,6,True,True,True,True,False,HIGH_EVIDENCE
ANODE_ET_Ran_con_1,STRONG,SATURATION,False,STRONG,complex_nonmonotonic,97.4,96.07,96.28,high_agreement,,0,0,,False,MODERATE,5,True,True,False,False,True,HIGH_EVIDENCE
ANODE_ET_Ran_con_1_OW_CR,INCONCLUSIVE,FLAT,False,MODERATE,threshold,63.51,47.16,47.3,moderate_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
ANODE_ET_Ran_con_2,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,threshold,62.67,43.16,47.02,moderate_agreement,,0,0,,False,MODERATE,1,False,True,False,False,True,LOW_EVIDENCE
ANODE_ET_Ran_con_2_OW_CR,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,monotonic,87.23,83.86,87.44,high_agreement,,0,0,,False,MODERATE,1,False,False,False,False,True,LOW_EVIDENCE
ANODE_ET_Ran_con_3,WEAK,THRESHOLD,False,INCONCLUSIVE,threshold,93.47,94.74,89.68,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
ANODE_ET_Ran_con_3_OW_CR,WEAK,PROCESS_WINDOW,False,INCONCLUSIVE,complex_nonmonotonic,29.54,31.51,11.09,moderate_agreement,,0,0,,False,STRONG,1,False,True,False,False,True,LOW_EVIDENCE
ANODE_ET_Rc_an_ct2,STRONG,PROCESS_WINDOW,True,INCONCLUSIVE,inverted_U,96.42,95.23,95.79,high_agreement,,0,0,,False,INCONCLUSIVE,3,True,True,False,False,False,HIGH_EVIDENCE
ANODE_ET_Rc_an_ct2_OW_CR,STRONG,SATURATION,True,INCONCLUSIVE,complex_nonmonotonic,99.16,98.88,99.37,high_agreement,231.0,1,1,0.1846,True,INCONCLUSIVE,6,True,True,True,True,False,HIGH_EVIDENCE
ANODE_ET_Rsh_an_ct2,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,inverted_U,62.6,65.61,63.79,high_agreement,60.0,0,0,,False,STRONG,2,False,True,False,True,True,MEDIUM_EVIDENCE
ANODE_ET_Rsh_an_ct2_OW_CR,STRONG,INVERTED_U,False,INCONCLUSIVE,inverted_U,56.56,50.11,47.09,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
BRGM_ET_ABVIETCH,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
BRGM_ET_C100,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,24.84,17.75,34.39,moderate_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
BRGM_ET_C200,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,283.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
BRGM_ET_C200_0,MODERATE,U_SHAPED,True,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
BRGM_ET_C300,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,54.6,62.88,63.37,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
BRGM_ET_C300_0,MODERATE,PROCESS_WINDOW,True,INCONCLUSIVE,complex_nonmonotonic,15.72,16.07,10.53,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
BRGM_ET_Cap_C300,WEAK,U_SHAPED,False,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,INCONCLUSIVE,0,False,True,False,False,False,UNSUPPORTED
BRGM_ET_F_AB,MODERATE,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,67.93,74.74,74.74,high_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
BRGM_ET_i5021_1,MODERATE,SATURATION,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
BRGM_ET_i5021_2,WEAK,SATURATION,True,INCONCLUSIVE,complex_nonmonotonic,71.65,87.72,82.18,moderate_agreement,,0,0,,False,INCONCLUSIVE,0,False,True,False,False,False,UNSUPPORTED
BRGM_ET_i5021_3,MODERATE,COMPLEX_NONLINEAR,False,WEAK,complex_nonmonotonic,19.02,18.39,13.82,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
BRGM_ET_KLV_F_AB_4u,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,STRONG,3,True,True,False,False,True,HIGH_EVIDENCE
BRGM_ET_KLV_F_M1_4u,STRONG,U_SHAPED,True,MODERATE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,WEAK,2,True,True,False,False,False,MEDIUM_EVIDENCE
BRGM_ET_lkg_C200,WEAK,THRESHOLD,False,WEAK,threshold,10.32,10.32,31.16,moderate_agreement,281.0,0,0,,False,INCONCLUSIVE,1,False,True,False,True,False,LOW_EVIDENCE
BRGM_ET_lkg_C300,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
BRGM_ET_lkg_SY07_10,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,28.0,32.14,39.79,high_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
BRGM_ET_lkg_SY8_80,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,80.0,0,0,,False,INCONCLUSIVE,3,True,True,False,True,False,HIGH_EVIDENCE
BRGM_ET_Probe_Number,INCONCLUSIVE,FLAT,False,MODERATE,monotonic,70.74,72.91,76.07,high_agreement,95.0,0,0,,False,no_evidence,2,True,False,False,True,False,MEDIUM_EVIDENCE
BRGM_ET_Rc_F_AB_2,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,15.23,19.09,40.77,moderate_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
BRGM_ET_Rsh_F_AB_2,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,12.63,13.4,19.86,high_agreement,248.0,0,0,,False,MODERATE,4,True,True,False,True,True,HIGH_EVIDENCE
BRGM_ET_TR_1F,STRONG,COMPLEX_NONLINEAR,True,STRONG,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
CATHODE_ET_C_CAT_2,WEAK,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,26.67,37.96,38.32,high_agreement,,0,0,,False,MODERATE,1,False,True,False,False,True,LOW_EVIDENCE
CATHODE_ET_C_CAT_2_OW_ST,MODERATE,U_SHAPED,True,INCONCLUSIVE,U_shape,35.44,41.54,43.37,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
CATHODE_ET_Probe_Number,MODERATE,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,42.18,37.47,18.81,moderate_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
CATHODE_ET_Rc_cat_ct2,MODERATE,THRESHOLD,False,STRONG,complex_nonmonotonic,75.58,74.6,62.25,moderate_agreement,,0,0,,False,MODERATE,3,True,True,False,False,True,HIGH_EVIDENCE
CATHODE_ET_Rc_cat_ct2_OW_ST,STRONG,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,69.89,68.28,74.39,high_agreement,53.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_1,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,73.54,80.77,77.19,high_agreement,126.0,0,0,,False,WEAK,3,True,True,False,True,False,HIGH_EVIDENCE
CATHODE_ET_Rcat_cn_1_OW_ST,MODERATE,PROCESS_WINDOW,True,INCONCLUSIVE,complex_nonmonotonic,11.79,14.11,19.37,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_2,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,97.75,96.91,97.54,high_agreement,3.0,2,0,0.0561,False,INCONCLUSIVE,5,True,True,True,True,False,HIGH_EVIDENCE
CATHODE_ET_Rcat_cn_2_OW_ST,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,70.11,68.84,55.09,moderate_agreement,122.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_3,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,25.96,44.84,48.77,moderate_agreement,127.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
CATHODE_ET_Rcat_cn_3_OW_ST,MODERATE,SATURATION,True,WEAK,complex_nonmonotonic,80.0,73.96,72.98,high_agreement,40.0,2,0,0.1222,False,INCONCLUSIVE,3,True,True,True,True,False,HIGH_EVIDENCE
CATHODE_ET_Rsh_cat_c2,STRONG,SATURATION,True,STRONG,threshold,11.72,14.67,32.56,moderate_agreement,138.0,0,0,,False,MODERATE,4,True,True,False,True,True,HIGH_EVIDENCE
CATHODE_ET_Rsh_cat_c2_OW_ST,MODERATE,SATURATION,False,MODERATE,threshold,39.72,36.07,55.79,moderate_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_Bad_Gates,WEAK,SATURATION,True,MODERATE,complex_nonmonotonic,96.21,89.12,96.35,high_agreement,90.0,1,0,0.0379,False,no_evidence,5,True,True,True,True,False,HIGH_EVIDENCE
FIC_ET_C100S1,MODERATE,THRESHOLD,True,WEAK,complex_nonmonotonic,15.58,12.63,19.44,high_agreement,188.0,0,0,,False,no_evidence,2,True,True,False,True,False,MEDIUM_EVIDENCE
FIC_ET_C200_0S1,STRONG,SATURATION,False,MODERATE,complex_nonmonotonic,48.49,58.81,54.25,high_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_C200S1,MODERATE,PROCESS_WINDOW,True,MODERATE,complex_nonmonotonic,22.88,18.04,42.25,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_FC_lin_4,MODERATE,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,43.79,40.21,4.42,low_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_G_per_15,STRONG,THRESHOLD,True,STRONG,threshold,53.82,48.84,5.54,low_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_G_per_25,MODERATE,SATURATION,False,MODERATE,monotonic,97.89,99.23,98.88,high_agreement,,0,1,0.0266,False,no_evidence,5,True,False,True,True,False,HIGH_EVIDENCE
FIC_ET_G_per_2p75K,STRONG,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,61.68,66.6,69.05,high_agreement,,0,0,,False,no_evidence,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_G_per_6K,STRONG,SATURATION,False,INCONCLUSIVE,complex_nonmonotonic,64.56,72.98,77.26,moderate_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_G2_per_6K,INCONCLUSIVE,FLAT,False,WEAK,threshold,28.07,34.74,6.32,moderate_agreement,,0,0,,False,INCONCLUSIVE,0,False,True,False,False,False,UNSUPPORTED
FIC_ET_Gate_res,MODERATE,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,74.74,77.26,77.68,high_agreement,195.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
FIC_ET_Gm_m2,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,84.42,94.04,89.26,high_agreement,263.0,0,0,,False,MODERATE,3,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_Gm_max,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,96.91,98.6,97.82,high_agreement,,0,0,,False,STRONG,5,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_GT_lin25,STRONG,THRESHOLD,False,MODERATE,monotonic,69.68,59.44,69.54,moderate_agreement,,0,0,,False,no_evidence,2,True,False,False,False,False,MEDIUM_EVIDENCE
FIC_ET_HIRS,STRONG,SATURATION,False,STRONG,threshold,70.6,64.77,67.93,high_agreement,,0,0,,False,MODERATE,3,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_Id_mAmm_at_Vd_cond,MODERATE,SATURATION,False,STRONG,threshold,21.12,17.61,33.96,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_Ids_m2,INCONCLUSIVE,FLAT,False,MODERATE,threshold,30.04,35.51,47.65,moderate_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_Ig_mAmm_at_Vd_cond,WEAK,INVERTED_U,True,INCONCLUSIVE,inverted_U,36.49,53.54,42.53,moderate_agreement,,0,0,,False,no_evidence,0,False,True,False,False,False,UNSUPPORTED
FIC_ET_lkg_5,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,83.44,87.51,82.74,high_agreement,284.0,0,0,,False,STRONG,3,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_lkg_SY07_10,STRONG,THRESHOLD,True,STRONG,complex_nonmonotonic,12.35,12.35,19.58,high_agreement,10.0,1,0,0.1492,False,STRONG,5,True,True,True,True,True,HIGH_EVIDENCE
FIC_ET_lkg_SY8_80,STRONG,SATURATION,True,MODERATE,complex_nonmonotonic,96.98,96.84,96.49,high_agreement,87.0,0,0,,False,INCONCLUSIVE,5,True,True,False,True,False,HIGH_EVIDENCE
FIC_ET_OHMC,WEAK,PROCESS_WINDOW,True,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,197.0,0,0,,False,STRONG,2,False,True,False,True,True,MEDIUM_EVIDENCE
FIC_ET_Probe_Number,WEAK,SATURATION,False,MODERATE,threshold,96.56,83.02,96.56,moderate_agreement,130.0,0,1,0.0199,True,no_evidence,6,True,True,True,True,False,HIGH_EVIDENCE
FIC_ET_R_f_hr_1,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,21.54,21.96,10.32,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_R_f_hr_2,STRONG,THRESHOLD,False,MODERATE,threshold,31.23,32.7,46.74,moderate_agreement,,0,0,,False,MODERATE,3,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_R_f_hr_3,STRONG,THRESHOLD,False,MODERATE,monotonic,68.7,49.75,36.14,moderate_agreement,,0,0,,False,MODERATE,3,True,False,False,False,True,HIGH_EVIDENCE
FIC_ET_R_f_tn_1,MODERATE,COMPLEX_NONLINEAR,False,MODERATE,threshold,81.47,84.14,81.4,high_agreement,,0,0,,False,MODERATE,3,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_R_f_tn_2,STRONG,SATURATION,False,MODERATE,monotonic,92.77,69.75,93.26,moderate_agreement,,2,1,0.0537,True,MODERATE,7,True,False,True,True,True,HIGH_EVIDENCE
FIC_ET_R_f_tn_3,MODERATE,THRESHOLD,False,INCONCLUSIVE,U_shape,23.37,27.86,9.4,moderate_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_R114,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,75.51,76.35,70.53,high_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_R214,STRONG,COMPLEX_NONLINEAR,True,STRONG,threshold,27.44,27.3,10.25,moderate_agreement,,0,0,,False,WEAK,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_R314,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,67.16,73.19,73.82,high_agreement,,0,0,,False,MODERATE,1,False,True,False,False,True,LOW_EVIDENCE
FIC_ET_Rc_f_hr_23,MODERATE,THRESHOLD,True,WEAK,complex_nonmonotonic,82.6,86.04,74.04,moderate_agreement,39.0,2,0,0.1018,False,INCONCLUSIVE,3,True,True,True,True,False,HIGH_EVIDENCE
FIC_ET_Rc_f_tn_23,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,27.0,2,0,0.0759,False,WEAK,3,True,True,True,True,False,HIGH_EVIDENCE
FIC_ET_Rc_OG142,STRONG,SATURATION,False,INCONCLUSIVE,threshold,12.49,13.82,12.84,high_agreement,110.0,0,0,,False,STRONG,3,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_sh_f_hr_23,STRONG,THRESHOLD,True,INCONCLUSIVE,U_shape,24.49,28.49,6.04,moderate_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_sh_f_tn_23,INCONCLUSIVE,FLAT,False,MODERATE,threshold,96.07,88.28,93.54,high_agreement,295.0,0,0,,False,INCONCLUSIVE,4,True,True,False,True,False,HIGH_EVIDENCE
FIC_ET_sh_GA142,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,66.6,78.04,67.58,moderate_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_TANR,INCONCLUSIVE,FLAT,False,INCONCLUSIVE,complex_nonmonotonic,19.23,21.19,34.53,moderate_agreement,,0,0,,False,WEAK,0,False,True,False,False,False,UNSUPPORTED
FIC_ET_TR_1F,STRONG,U_SHAPED,True,INCONCLUSIVE,U_shape,69.05,71.86,71.58,high_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_Vd_at_Id_cut_cond,STRONG,THRESHOLD,False,MODERATE,threshold,50.39,43.93,31.86,moderate_agreement,,0,0,,False,no_evidence,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_Vdg_max,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,34.88,40.0,38.6,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_Vds_max,STRONG,THRESHOLD,False,MODERATE,monotonic,80.42,73.82,74.6,high_agreement,,0,0,,False,STRONG,3,True,False,False,False,True,HIGH_EVIDENCE
FIC_ET_Vg_gm_max,WEAK,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,STRONG,1,False,True,False,False,True,LOW_EVIDENCE
FIC_ET_Vg_Vds_max,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,60.63,72.77,75.37,moderate_agreement,,0,0,,False,WEAK,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_Vp_1,STRONG,PROCESS_WINDOW,True,INCONCLUSIVE,complex_nonmonotonic,64.0,70.53,75.58,moderate_agreement,203.0,0,0,,False,MODERATE,3,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_DC_PIV_Drain_Lag_0,WEAK,PROCESS_WINDOW,True,MODERATE,threshold,79.93,89.68,82.67,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_DC_PIV_Drain_Lag_1,STRONG,INVERTED_U,True,INCONCLUSIVE,complex_nonmonotonic,92.7,97.12,91.51,high_agreement,,0,0,,False,STRONG,4,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_DC_PIV_Gate_Lag_0,STRONG,THRESHOLD,True,MODERATE,monotonic,73.68,68.42,0.56,low_agreement,,0,0,,False,MODERATE,3,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_DC_PIV_Gate_Lag_1,STRONG,PROCESS_WINDOW,True,INCONCLUSIVE,complex_nonmonotonic,86.25,82.46,88.77,high_agreement,168.0,0,0,,False,INCONCLUSIVE,2,True,True,False,True,False,MEDIUM_EVIDENCE
FIC_ET_DC_PIV_Ids0_QP1,INCONCLUSIVE,FLAT,False,WEAK,monotonic,49.68,43.3,2.32,low_agreement,,0,0,,False,INCONCLUSIVE,0,False,False,False,False,False,UNSUPPORTED
FIC_ET_DC_PIV_Ids0_QP2,WEAK,U_SHAPED,True,INCONCLUSIVE,complex_nonmonotonic,71.3,76.84,69.33,high_agreement,,0,0,,False,MODERATE,1,False,True,False,False,True,LOW_EVIDENCE
FIC_ET_DC_PIV_Ids0_QP3,WEAK,SATURATION,False,STRONG,threshold,48.0,49.96,3.79,low_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_PIV_Ids1_QP1,STRONG,COMPLEX_NONLINEAR,True,MODERATE,threshold,48.56,62.46,12.42,low_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_DC_PIV_Ids1_QP2,INCONCLUSIVE,FLAT,False,WEAK,threshold,61.33,64.56,1.26,low_agreement,,0,0,,False,WEAK,0,False,True,False,False,False,UNSUPPORTED
FIC_ET_DC_PIV_Ids1_QP3,STRONG,U_SHAPED,False,INCONCLUSIVE,complex_nonmonotonic,84.14,84.28,88.49,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_DC_RF_Gm_0,STRONG,COMPLEX_NONLINEAR,False,WEAK,complex_nonmonotonic,46.04,49.68,56.42,high_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Gm_m0p2,STRONG,COMPLEX_NONLINEAR,True,WEAK,complex_nonmonotonic,25.47,24.21,14.81,high_agreement,,0,0,,False,INCONCLUSIVE,1,True,True,False,False,False,LOW_EVIDENCE
FIC_ET_DC_RF_Gm_max,MODERATE,U_SHAPED,False,WEAK,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Id_gm_max,STRONG,COMPLEX_NONLINEAR,True,INCONCLUSIVE,complex_nonmonotonic,29.05,18.18,7.79,moderate_agreement,127.0,0,0,,False,MODERATE,3,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_DC_RF_Ids_m0p2,STRONG,SATURATION,False,MODERATE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,58.0,0,0,,False,STRONG,4,True,True,False,True,True,HIGH_EVIDENCE
FIC_ET_DC_RF_Idss,STRONG,COMPLEX_NONLINEAR,False,INCONCLUSIVE,complex_nonmonotonic,10.32,10.32,31.16,moderate_agreement,,0,0,,False,STRONG,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Imax,STRONG,COMPLEX_NONLINEAR,True,MODERATE,complex_nonmonotonic,31.37,46.74,52.7,moderate_agreement,,0,0,,False,STRONG,3,True,True,False,False,True,HIGH_EVIDENCE
FIC_ET_DC_RF_n_gd,MODERATE,THRESHOLD,True,INCONCLUSIVE,inverted_U,48.98,40.98,52.56,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_n_gs,STRONG,U_SHAPED,True,INCONCLUSIVE,U_shape,69.54,67.23,72.14,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Vbgd_0p01,STRONG,THRESHOLD,False,INCONCLUSIVE,complex_nonmonotonic,48.21,43.09,55.93,high_agreement,,0,0,,False,MODERATE,2,True,True,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Vbgd_0p1,MODERATE,SATURATION,False,WEAK,monotonic,59.86,72.49,53.89,moderate_agreement,,0,0,,False,STRONG,2,True,False,False,False,True,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Vbgd1,STRONG,COMPLEX_NONLINEAR,True,MODERATE,threshold,55.65,59.58,55.44,high_agreement,,0,0,,False,INCONCLUSIVE,2,True,True,False,False,False,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Vbgs_0p01,STRONG,THRESHOLD,True,INCONCLUSIVE,complex_nonmonotonic,99.3,99.16,99.3,high_agreement,,1,0,0.0847,False,STRONG,5,True,True,True,True,True,HIGH_EVIDENCE
FIC_ET_DC_RF_Vbgs_0p1,STRONG,SATURATION,True,INCONCLUSIVE,complex_nonmonotonic,91.09,79.51,92.77,moderate_agreement,,0,0,,False,STRONG,4,True,True,False,False,True,HIGH_EVIDENCE
