column_name,original_csv_column,category,stage2_eligible,reason,leakage_risk,process_or_ET_parameter,notes
Sorting Date,yes,E,no,"Pure traceability/scheduling date (when the sort test was performed), not a physical process condition.",none,no,Could support a derived calendar-drift feature in future engineered work; not itself a process parameter.
Process,yes,E,no,"Constant value across all 1,500 rows ('GaAs_pHEMT_MMIC') -- zero variance, provides no discriminative information.",none,no,Re-verified fresh: nunique=1.
MaskSetName,yes,C,yes,Genuine categorical process attribute (mask set used). Confirmed to materially associate with mean yield differences across groups in prior EDA.,none,yes,Kept as the canonical column; MaskSetName_group is its exact duplicate (see category F entry).
FinishLineDate,yes,E,no,"Pure traceability/scheduling date (when the wafer finished the fab line), not itself a physical process condition.",none,no,Could support a derived cycle-time feature (FinishLineDate to Sorting Date) in future engineered work.
FinishLineYear,yes,E,no,"Constant value across all 1,500 rows (2026) -- zero variance.",none,no,Re-verified fresh: nunique=1.
Actual Sorting Yield (%),yes,D,no,"Re-verified fresh against raw CSV: Pearson r=0.9875, Spearman r=0.9835 with SortingYield -- effectively a re-expression of the same outcome, not an independent measurement. It is an EOL sort-yield metric, i.e. an OUTPUT/outcome variable computed at or after the same test event as SortingYield, not a process/input parameter.",high,no,Confirmed leakage. Available only after (or as part of) EOL sort -- not usable as a predictor.
LotName,yes,E,no,"Pure identifier (100 unique lot codes). Used only as the grouping key for validation splits, never as a predictor.",none,no,
WaferNum,yes,E,no,"Pure identifier (wafer position label W01-W15 within a lot). Administrative/traceability, not a process condition.",none,no,"Could in principle proxy a real within-lot spatial effect, but as a bare label it is not itself a measured process condition; flagged as excluded rather than uncertain since it is unambiguously an identifier, not a measurement."
VendorName,yes,C,yes,Genuine categorical process attribute (epitaxial wafer vendor).,none,yes,
Version,yes,C,yes,Genuine categorical process attribute (product/process version).,none,yes,
Lot_type,yes,C,yes,Genuine categorical process attribute (engineering vs. production lot).,none,yes,
Sort_WW,yes,E,no,"Work-week number of the sort test -- scheduling/traceability metadata, not a physical process condition.",none,no,
Year_WW,yes,E,no,"Year-work-week composite label -- scheduling/traceability metadata, not a physical process condition.",none,no,
Exception,yes,E,no,"Constant value across all 1,500 rows ('NO') -- zero variance.",none,no,Re-verified fresh: nunique=1.
Customer,yes,C,yes,Genuine categorical process/business attribute; associated with real mean-yield differences in prior EDA.,none,yes,"Business attribute rather than a physical process condition, but not target-derived -- set before test, legitimately eligible."
Technology,yes,C,yes,Genuine categorical process attribute (pHEMT technology node).,none,yes,
LineYield,yes,G,review,"Re-verified fresh: Pearson r=0.0040, Spearman r=-0.0026 with SortingYield -- statistically indistinguishable from zero (n=1500). This does NOT show a correlation-based leakage signature. However, 'LineYield' is semantically an OUTCOME metric (a yield/pass-rate) from a different process stage ('Line' = wafer fab line), not a physical process/ET measurement. Whether front-of-line yield is measured and available BEFORE EOL SortingYield is determined (which would make it a legitimate early-stage input) or is a parallel/downstream rollup cannot be determined from the CSV alone.",none,uncertain,"UNCERTAIN -- engineering review needed to confirm manufacturing-flow timing. If confirmed available pre-EOL and causally upstream, this could become a legitimate early-warning input; if it is a parallel/summary metric it should be treated as leakage-adjacent. Not excluded here, but not automatically included either -- flagged for review per project rule against unsupported assumptions."
BackEndYield,yes,G,review,"Re-verified fresh: Pearson r=0.0045, Spearman r=-0.0207 with SortingYield -- statistically indistinguishable from zero. Same semantic concern as LineYield: 'BackEndYield' is an outcome/yield metric, most plausibly from packaging/assembly (typically AFTER die sort in standard semiconductor flow, which would make it a downstream, non-causal metric relative to SortingYield), but this cannot be confirmed from the CSV alone.",none,uncertain,"UNCERTAIN -- engineering review needed. Near-zero correlation argues against leakage risk, but its outcome/yield semantics argue against it being a genuine process/ET input parameter."
SortingYield,yes,A,no,This IS the Stage 2 relationship-discovery target variable.,not_applicable,no,Never a predictor. All relationships are characterized WITH RESPECT TO this column.
VIYield,yes,G,review,"Re-verified fresh: Pearson r=0.1220, Spearman r=0.1646 with SortingYield -- a modest, non-trivial correlation. 'VI' most plausibly denotes Visual Inspection, typically a post-sort or post-assembly step. An outcome/yield metric, not a physical process measurement.",low,uncertain,UNCERTAIN -- modest correlation plus outcome-type semantics. Engineering review needed to confirm process-flow position before treating as either a legitimate input or leakage.
LTYield,yes,G,review,"Re-verified fresh: Pearson r=0.2155, Spearman r=0.1634 with SortingYield -- a modest, non-trivial correlation. 'LT' most plausibly denotes Life Test / burn-in, typically a post-sort reliability step. An outcome/yield metric, not a physical process measurement.",low,uncertain,UNCERTAIN -- modest correlation plus outcome-type semantics. Engineering review needed.
TotalYield,yes,D,no,"Re-verified fresh: Pearson r=0.9228, Spearman r=0.8947 with SortingYield -- a rollup metric whose value structurally includes SortingYield as one of its components (a yield product/aggregate across stages). Using it as a predictor would let the model trivially recover the target through arithmetic, not through any discovered process relationship.",high,no,Confirmed leakage: target-derived aggregate.
MaskSetSupplyChipsCount,yes,B,yes,"Re-verified fresh: correlates only r=0.0847 with SortingYield -- a planned wafer/capacity count set before production, not derived from actual results. Legitimate, safe process/planning input.",none,yes,Distinct from EstimatedSupplyChipsCount -- verified NOT to encode yield outcome.
EstimatedSupplyChipsCount,yes,D,no,"Re-verified fresh: EstimatedSupplyChipsCount / MaskSetSupplyChipsCount ratio correlates r=0.9229 with SortingYield, while MaskSetSupplyChipsCount alone correlates only r=0.0847. This shows EstimatedSupplyChipsCount is a business projection COMPUTED FROM an actual or forecasted yield figure (chip-count estimate = wafer capacity x yield), not an independent process measurement.",high,no,"Confirmed leakage: derived from yield outcome, not a process input."
Sort_Yield_target[%],yes,C,yes,"Re-verified fresh: takes only 2 values (88, 90) and maps deterministically onto Technology (crosstab confirms a perfect 1:1 relationship) -- a pre-set specification/target threshold assigned before production, not a measurement derived from the actual outcome.",none,uncertain,"Not leakage (set in advance, not derived from results), but fully redundant with Technology -- carries no independent information."
MaskSetName_group,yes,F,no,"Re-verified fresh via direct row-by-row string comparison: MaskSetName_group is identical to MaskSetName for all 1,500 rows (confirmed by crosstab: a perfect 1:1 diagonal mapping).",none,no,Exact duplicate of MaskSetName. No additional exact duplicates were found anywhere in the dataset (checked via content-hash across all numeric columns and pairwise string-equality across all categorical columns).
ANODE_ET_C_AN_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_C_AN_2_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Probe_Number,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_1,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_1_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_2_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_3,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Ran_con_3_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Rc_an_ct2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Rc_an_ct2_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Rsh_an_ct2,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
ANODE_ET_Rsh_an_ct2_OW_CR,yes,B,yes,"Original raw-CSV numeric process/inline/ET measurement. Re-checked: not in the leakage-family list, not a constant column, not part of any exact-duplicate group (verified via content-hash across all numeric columns).",none,yes,"Eligible for Stage 2 regardless of standalone importance -- may still matter via nonlinear effects, thresholds, or interactions."
